id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
601,"After Sakamoto completed his final mission, he realized that he ___ the peaceful life he had always wanted.",had achieved,has achieved,was achieving,will achieve,1,"過去完了。坂本は最終任務を完了した後、ずっと望んでいた平穏な生活を手に入れたことを実感しました。"
602,"Since moving to the suburbs, Sakamoto ___ how to grow vegetables in his garden.",has learned,had learned,was learning,will learn,1,"現在完了（継続・経験）。郊外に引っ越してから、坂本は庭で野菜を育てる方法を学んできました。"
603,"Shin told me that he ___ Sakamoto for over ten years before discovering his secret.",had known,has known,was knowing,will know,1,"過去完了。シンは坂本の秘密を知る前に10年以上彼を知っていたと言いました。"
604,"If Sakamoto hadn't retired, he ___ still working as an assassin today.",would be,will be,is,was,1,"仮定法過去。もし坂本が引退していなかったら、今日もまだ殺し屋として働いているでしょう。"
605,"The convenience store ___ by Sakamoto has become very popular in the neighborhood.",managed,managing,to manage,manage,1,"過去分詞による後置修飾。坂本によって経営されているコンビニは近所でとても人気になりました。"
606,"Lu ___ in China before she came to Japan to work with Sakamoto.",had lived,has lived,was living,will live,1,"過去完了。ルーは坂本と働くために日本に来る前に中国に住んでいました。"
607,"Aoi said that she ___ Sakamoto's true identity if she hadn't seen him fight.",would never discover,will never discover,never discovered,had never discovered,1,"仮定法過去。葵は坂本が戦うのを見ていなかったら、彼の正体を決して発見しなかっただろうと言いました。"
608,"The training program ___ by Nagumo is considered one of the most difficult in the country.",developed,developing,to develop,develop,1,"過去分詞による後置修飾。南雲によって開発された訓練プログラムは国内で最も困難なものの一つと考えられています。"
609,"By the time the police arrived, the assassins ___ already escaped from the building.",had,have,were,will,1,"過去完了。警察が到着した時には、殺し屋たちはすでに建物から逃げていました。"
610,"Sakamoto wishes he ___ told Aoi about his past sooner.",had,has,was,will,1,"仮定法過去完了（wish）。坂本は葵にもっと早く自分の過去について話していればよかったと思っています。"
